"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 29 20:16:57 GMT 2022","Thu Dec 29 20:16:58 GMT 2022","1518","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[E-011]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Thu Dec 29 20:16:55 GMT 2022","Thu Dec 29 20:16:57 GMT 2022","1420","tests.activities","test_activities_api","TestActivitiesSkill","","","test_activities_skill[E-010]","This test checks /api/activities     and api/v3/activity_status api"
"passed","Thu Dec 29 20:17:29 GMT 2022","Thu Dec 29 20:17:30 GMT 2022","1250","tests.profile","test_skills","TestSkills","","","test_skills_of_user[RE]","This test checks /api/v3/skills/     and /api/v3/skills/[skill]/ api"
"passed","Thu Dec 29 20:17:05 GMT 2022","Thu Dec 29 20:17:06 GMT 2022","231","tests.activities.games","test_kindness_chain_activity","TestKindnessChain","","","test_kindness_chain_activity","This test checks /api/activities     and api/v3/activity_status api"
"passed","Thu Dec 29 20:17:16 GMT 2022","Thu Dec 29 20:17:16 GMT 2022","206","tests.menu","test_notifications","TestNotifications","","","test_get_all_notifications","This test checks /api/notifications/ api"
"passed","Thu Dec 29 20:17:16 GMT 2022","Thu Dec 29 20:17:16 GMT 2022","639","tests.menu","test_legal_page","TestResourcesPage","","","test_resource_page","This test checks     /public/legal/"
"passed","Thu Dec 29 20:17:00 GMT 2022","Thu Dec 29 20:17:01 GMT 2022","1125","tests.activities.games","test_games","TestGames","","","test_complete_game[game_data0]","This test checks     /api/activities/game_activity_statuses/ and api/v3/activity_status api"
"passed","Thu Dec 29 20:17:07 GMT 2022","Thu Dec 29 20:17:07 GMT 2022","197","tests.community","test_community","TestCommunity","","","test_community_followers_posts","This test checks     /api/activity/?page=1&page_size=12&feed_filter=followers"
"passed","Thu Dec 29 20:17:43 GMT 2022","Thu Dec 29 20:17:43 GMT 2022","507","tests.upside","test_upside_api","TestUpsideUnlogin","","","test_hd_get_article_unlogin","This test checks /happifiers/[id] api"
"passed","Thu Dec 29 20:17:06 GMT 2022","Thu Dec 29 20:17:07 GMT 2022","168","tests.community","test_community","TestCommunity","","","test_community_track_posts","This test checks     /api/activity/?page=1&page_size=12&feed_filter=trackGroup"
